text,label,notes
"The Carla Bley stuff I ignored for too long is now some of my favorite music. Funny, dry, strange, beautifully arranged, never trying to impress you in the obvious way. Escalator Over the Hill is a whole universe.",appreciation,
"Ben Webster's breathy sound on ballads gets me every time. It is not just tone, it is timing. He can make a phrase feel like it is arriving from across the room with its hat in its hands.",appreciation,
Joe Henderson's Inner Urge has been living in my head. There is something about his phrasing that feels slippery but never vague. He can duck around the beat and still sound completely centered.,appreciation,
"I have a soft spot for Jimmy Smith records because they sound like a room full of people having a much better evening than you. The organ trio format can get cheesy fast, but when it works, it really works.",appreciation,
"Monk's solo piano feels like watching someone build furniture with a hammer and a sly sense of humor. The wrong notes are not wrong, the pauses are not empty, and the whole thing somehow dances.",appreciation,
"The Sun Ra Arkestra makes me happy in a way almost nothing else does. Even the messy parts feel intentional because the whole idea is bigger than polish. Joyful, strange, serious, silly, cosmic, all at once.",appreciation,
"I was not ready for Betty Carter. The way she bends time around a lyric is wild. Sometimes it sounds like she is daring the band to catch her, and then of course they do.",appreciation,
"Brazilian jazz has been saving my week. Getz/Gilberto is the obvious doorway, but Milton Banana Trio and Tamba Trio have this lightness that never feels thin. The groove just floats.",appreciation,
"Andrew Hill's Point of Departure is one of those records that makes me feel smarter and more confused at the same time. The writing is knotty, but the emotion is right there if you stop trying to solve it.",appreciation,
"I love when Ornette Coleman sounds like he is laughing through the horn. People describe the music as difficult, but a lot of it feels incredibly human to me. Like melodies chasing each other around a playground.",appreciation,
"""Naima"" still stops me cold. I have heard it a hundred times, and that first calm statement of the melody still feels private, like you walked into a room you should be quiet in.",appreciation,
Listening to Shirley Horn late at night is dangerous because suddenly everything else feels too loud. Her time is so slow and confident. She can hold a note or a silence until the whole room leans forward.,appreciation,
"I keep coming back to Tony Williams because even at his most explosive he sounds like he is composing on the drums. The ride cymbal, the accents, the way he pushes without flattening the band. Unreal.",appreciation,
Just wanted to say jazz radio at 2am is still one of life's small miracles. You tune in half-asleep and suddenly some obscure tenor player from 1961 is making the kitchen feel sacred.,appreciation,"Includes factual context, but main purpose is personal reaction."
"Does anyone know if an official recording for Estival Jazz Lugano 1998 exists, and where I might buy one? Or if it's archived somewhere legitimate where I might download it, that would be great too. I have a friend that is very into Michael Brecker, and he really digs the performance from this festival. For reference, this is a decent recording of Michael Brecker Group's set at this festival: https://www.youtube.com/watch?v=S_ShyxNIjls",question,
Can you upload to youtube? Would live to see Miles and Dizzy,question,
"Selling Herbie Hancock Tickets - New Jersey - Friday July 31 - NJPAC: Does anyone know where I can sell these? Herbie Hancock is gonna be live in New Jersey on Friday, July 31, 2026 at the New Jersey Performing Arts Center (NJPAC) in Newark. Beginning at 8:00 PM in Prudential Hall. I bought 3 tickets but the time of the show overlap with the Newport Jazz Festival dates which I also bought tickets for. Does anyone want to buy up to 3 orchestral center tickets? The center tickets are close to being sold out.",question,
Would you all be for or against an artifact free Keith Jarrett classic album (I’ve been working on the trio’s “Tokyo ‘96” album) with Keith’s moans and grunts removed? I love nearly everything the trio recorded but I must admit: sometimes the goat-having-a-seizure noises take me out of it. Let me know. Is this sacrilege? Is it integral to the man’s recordings and therefore something one must take or leave?,question,
"My wife and I like to put on jazz records at home, but have found ourselves with a big gap. When it's like, 8pm and we're drinking tea or cocktails in our pajamas with all the soft lighting on, that's not really the time for Giant Steps or Straight, No Chaser. Any suggestions for quiet/calm jazz that would suit a dinner date, coffee shop, study sesh, or chilling at home in your PJs?",question,"Asks for recommendations or opinions, so label remains question."
"What are the worst Jazz records ever recorded? I know nothing about Jazz, and would like to start with the worst. But which records would be the best pick?",question,
"Thelonious Monk wrote some great ballads. I’m not really aware of him writing bad tunes to be honest. He’s like Bach, just a human factory of music. But Pannonica might be the prettiest tune he ever wrote. What do you guys love most about his compositions?",question,
"This may be an unpopular question, but I like the kind of easy listening when jazz musicians cover pop songs and add some harmonic and rhythmic interest while keeping to the emotion. Who are some jazz pianists you can recommend who do this? Albums?",question,"Asks for recommendations or opinions, so label remains question."
"Does anyone have a favorite pressing of A Love Supreme that does not cost car-payment money? I am not an audiophile wizard, just looking for something quiet enough that Elvin's cymbals do not turn into sandpaper.",question,
"I'm trying to get into organ trio records. I know Jimmy Smith and a little Larry Young, but where should I go next if I want groove without it getting too lounge-y?",question,"Asks for recommendations or opinions, so label remains question."
"Are there any good books or podcasts about the actual Blue Note recording sessions? I love the albums, but I want more behind-the-scenes stuff about Rudy Van Gelder, rehearsal time, alternate takes, all that nerdy detail.",question,
"Can someone explain what people mean when they say a player is ""outside""? I can hear when something sounds tense or weird, but I do not really know what is happening harmonically.",question,
"What jazz albums would you play for someone who mostly listens to Radiohead, Bjork, and film scores? Trying to make a small starter list that is not just the same five classics.",question,
"Any recommendations for learning to hear rhythm changes? I can recognize a blues pretty quickly, but rhythm changes still sneaks past me unless someone tells me first.",question,"Asks for recommendations or opinions, so label remains question."
Does anyone know why certain Impulse! reissues go out of print so fast? I keep seeing Coltrane and Archie Shepp titles jump in price and then disappear.,question,
"What are your favorite live albums where the crowd energy actually matters? Not just polite clapping, but recordings where you can feel the room pushing the band.",question,
Is there a decent app or site for tracking jazz discographies by session instead of by album? Jazz credits get messy fast and I keep losing track of who played on what.,question,
"Drummers: what are some good records for really learning brush playing? I can hear Philly Joe Jones and Shelly Manne doing beautiful stuff, but I need focused examples to study.",question,
"How do you all listen to free jazz without getting lost? Do you follow texture, rhythm, individual players, or just let go of the idea that it needs a map?",question,
"Which Miles Davis electric album should I give another chance first? Bitches Brew still feels like a wall to me, but I love In a Silent Way and some of the live 70s stuff.",question,
What are good examples of jazz musicians covering Beatles tunes without it turning into dentist-office music? Looking for versions that actually transform the material.,question,
Can anyone identify the pianist in this clip from a 1980s TV broadcast? The upload title only names the sax player and the solo around 4:20 is driving me crazy.,question,
"How much should I worry about mono vs stereo for late 50s jazz records? Some people swear the mono mixes are better, but I do not know when it actually matters.",question,
"Are there jazz standards beginners should learn first on guitar? I know ""Autumn Leaves"" is the usual answer, but what else teaches useful changes without crushing your soul?",question,
"Where do people buy used jazz CDs online now? Discogs is fine, but shipping gets weird when you want a bunch of cheap OJC or Blue Note discs from different sellers.",question,
"Any female-led hard bop or post-bop albums you love? I know Mary Lou Williams, Geri Allen, and Terri Lyne Carrington, but I would like to dig much deeper.",question,
"Why do so many old live recordings list incomplete personnel? Is it just bad documentation, bootleg confusion, union paperwork, or people arguing about who was on the gig?",question,
"What is the practical difference between bossa nova and samba-jazz? I can hear a vibe difference, but I would love a musician's explanation of the rhythm and harmony.",question,
"If I love Duke Ellington's Far East Suite, what should I hear next? I want that rich orchestral color and strange travel-diary feeling, not necessarily another basic swing compilation.",question,"Asks for recommendations or opinions, so label remains question."
Is Moanin' a good first Art Blakey record or should I start somewhere else? I like hard bop but sometimes the Messenger discography looks like a giant hallway of great covers.,question,
What modern saxophonists are carrying the Joe Henderson or Wayne Shorter spirit without just copying them? Looking for current records with that mysterious post-bop writing.,question,
"Has anyone here attended Newport Jazz Festival solo? Thinking about going by myself and wondering if it is easy to float between stages, meet people, and not feel awkward.",question,
"Which ECM albums are good entry points if I like the sound but get overwhelmed by the catalog? I already know Keith Jarrett and Pat Metheny, so bonus points for less obvious picks.",question,
How do you store 10-inch jazz records without them sliding around in normal LP boxes? I inherited a few and they look ridiculous leaning next to 12-inch records.,question,
"Any tips for hearing chord substitutions in standards? I can read them on a chart, but when someone reharmonizes live my ears just say ""fancy chord happened.""",question,
"What are the essential vocal jazz albums beyond Ella, Billie, and Sarah? I want singers who really interact with the band, not just pretty versions of standards.",question,
"Is there a legit source for transcriptions of Monk solos? I have found random PDFs, but I would rather buy a book or use something accurate if it exists.",question,
"How do people feel about applause edited out of live jazz records? Sometimes it makes the album flow, but sometimes it feels like the room got erased.",question,
"What makes a ballad performance ""jazz"" to you if the melody is mostly played straight? Is it the time feel, the harmony, the phrasing, the improvisation, or something else?",question,
"Looking for jazz that uses clarinet in a modern setting. I know early jazz has tons of it, but I am curious about post-bop, chamber jazz, or freer stuff with clarinet up front.",question,
"Can someone recommend albums with vibes front and center? I love Milt Jackson and Bobby Hutcherson, but I want more of that glassy, floating sound.",question,"Asks for recommendations or opinions, so label remains question."
"Is Spotify's jazz algorithm sending everyone else to the same 25 albums forever, or did I somehow train it badly? I swear it thinks jazz ended with Kind of Blue and Chet Baker Sings.",question,
"What's your favorite lesser-known live Coltrane recording? Official releases preferred, but I am curious what people think is essential outside the big Village Vanguard and Japan sets.",question,
"Are Japanese pressings worth the extra money for jazz vinyl, or is that mostly collector hype? I see them everywhere with beautiful packaging and have no idea where to start.",question,
How should I approach Anthony Braxton if I want to understand him instead of just admire the idea of him? Is there an album that opens the door gently?,question,
"What do I listen for in Max Roach's drumming? I know he is great, but I want to hear the specific things drummers hear when they talk about his genius.",question,
"Does anyone know if the full Mingus at Antibes video exists anywhere officially? I have seen clips, but I would love to buy or stream the complete concert if it was ever released.",question,
Which standards have the weirdest lyrics compared with how often we hear them as instrumentals? I learned the words to a couple tunes recently and was not prepared.,question,
"I inherited a stack of 78s with names like Bechet, Goodman, and some labels I do not recognize. What is the safest way to clean and play them without destroying anything?",question,
"What jazz album did you dislike at first but later completely love? I am curious about records that needed time, not just albums you respected from a distance.",question,
"I've listened to this album well over 500 times (literally) and it doesn't get boring. Such refined, elegant compositions with fantastic record quality itself (as it should be for ECM). Totally recommend you give it a listen if you don't know this album Apple Music: https://music.apple.com/us/album/spark-of-life/1443259469 YouTube Music: https://music.youtube.com/playlist?list=OLAK5uy_m-8VsyTgmXQqwRNPfLEbgmrMcsgBi6UD8 CD: https://ecmrecords.com/product/spark-of-life-marcin-wasilewski-trio-joakim-milder/",recommendation,"Question-like wording, but main purpose is recommending music."
"If you have never heard Bobby Hutcherson's Happenings, do yourself a favor and put it on with headphones. Herbie Hancock is on piano, Joe Chambers is on drums, and the whole record has this cool-blue floating quality without losing swing.",recommendation,
"Please give Mal Waldron's Left Alone a listen if you like piano that sounds spare, haunted, and completely unsentimental. It is not a flashy record, but it stays in the room after it ends.",recommendation,
"For anyone who likes quiet late-night piano trio albums, I strongly recommend Bobo Stenson's Serenity. It has that ECM spaciousness, but the playing never turns into wallpaper.",recommendation,
"Strong recommendation: Joe Henderson's Page One. ""Blue Bossa"" is the famous tune, but the whole album is concise, melodic, and a perfect doorway into Henderson's sound.",recommendation,
"If you are curious about jazz vocals beyond the obvious names, try Abbey Lincoln's Abbey Is Blue. It has bite, sadness, intelligence, and Max Roach's presence all over it.",recommendation,
"Put on Charles Tolliver's Paper Man if you want trumpet playing with a big, searching, post-bop edge. The compositions are strong and the band has that late-60s urgency.",recommendation,
"For a rainy Sunday, I cannot recommend Jim Hall's Concierto enough. The version of ""Concierto de Aranjuez"" is long, patient, and ridiculously beautiful without turning syrupy.",recommendation,
"Modern rec: Immanuel Wilkins - Omega. It feels connected to the tradition without sounding like homework, and the writing gives the quartet room to breathe and burn.",recommendation,
"If fusion has never clicked for you, try Herbie Hancock's Thrust before giving up. It grooves hard, the synth textures are funky instead of cheesy, and Mike Clark is ridiculous.",recommendation,
"Check out Dorothy Ashby's Afro-Harping if you want something elegant, funky, and a little unexpected. Jazz harp should not work this well in a groove setting, but it absolutely does.",recommendation,
"Anyone wanting trumpet with edge should hear Woody Shaw's Rosewood. The arrangements are dense in a good way, and Shaw's lines feel like they are cutting new angles through the changes.",recommendation,
"Sonny Clark - Cool Struttin' is an easy recommendation for hard bop beginners. Great tunes, perfect Blue Note feel, and Jackie McLean adds just enough bite to keep it from getting too polite.",recommendation,
"For people who like Mingus and want somewhere to go next, try Booker Ervin's The Freedom Book. It has that earthy, urgent, gospel-meets-fire feeling and the band is all in.",recommendation,
"Give Andrew Hill's Smokestack a shot, especially if you like records that feel slightly off-center. Two basses, weird gravity, and Hill's piano making everything tilt in the best way.",recommendation,
"Late-night headphones recommendation: Kenny Wheeler's Gnu High. Keith Jarrett, Dave Holland, and Jack DeJohnette are all on it, but Wheeler's writing is the real star.",recommendation,
"If you enjoy Bill Evans but want something a little less familiar, try Enrico Pieranunzi's Live in Paris. Lyrical, swinging, and full of those little harmonic turns that reward repeat listening.",recommendation,
"Do not sleep on Harold Land's The Fox. It is direct, fiery, and way less talked about than it should be. Dupree Bolton's trumpet alone makes it worth hearing.",recommendation,
"For a clean entry into freer jazz, I recommend Ornette Coleman's Change of the Century. The melodies are catchy, the band is loose but focused, and it is not nearly as scary as its reputation.",recommendation,"Personal enthusiasm included, but main purpose is recommendation."
Check out the Chico Hamilton Quintet with Eric Dolphy if you want chamber-jazz textures that still move. Dolphy's flute and reeds make the group sound unlike almost anything else from the period.,recommendation,
"If you want a standards record that never feels routine, listen to Keith Jarrett Trio's Still Live. The band stretches familiar tunes until they feel freshly discovered.",recommendation,
"For bass lovers, Charlie Haden's Nocturne is gorgeous. Boleros, warm tone, beautiful guests, and a relaxed mood that still has real emotional weight.",recommendation,
"Try Tigran Hamasyan's Mockroot if you like jazz, prog, Armenian folk rhythm, and piano that sounds like it might take flight. It is intense but very rewarding.",recommendation,
"John Zorn's Masada albums are worth hearing if you want short, sharp tunes with klezmer flavor and serious improvising. Start with Alef or Live in Jerusalem and go from there.",recommendation,
"Need a joyful record? Cannonball Adderley's Mercy, Mercy, Mercy! Live at ""The Club"" is pure energy. Even knowing it was recorded in a studio, the vibe is infectious.",recommendation,"Question-like wording, but main purpose is recommending music."
"If you only know Nina Simone as a singer, listen closely to her piano on Little Girl Blue. The classical touch, the swing feel, the little harmonic choices - she was a monster musician.",recommendation,
"Recommendation for guitar fans: Grant Green's Matador. It has McCoy Tyner and Elvin Jones, so the rhythm section has that Coltrane-quartet lift under Green's clean single-note lines.",recommendation,
"For spiritual jazz without going too far into the deep end, try McCoy Tyner's Extensions. Alice Coltrane is on harp, Wayne Shorter is there, and the ensemble sound is huge.",recommendation,
"If you liked Kamasi Washington but want to explore an older source, listen to Pharoah Sanders's Thembi. It is expansive and spiritual, but also full of memorable grooves and textures.",recommendation,
Go listen to Wynton Kelly's Kelly Blue if you need a reminder that swinging hard can be its own kind of profundity. The title track is a perfect small-group performance.,recommendation,
"For a punchy modern trio, I recommend The Bad Plus - These Are the Vistas. The covers got attention, but the originals and group chemistry are the real reason to hear it.",recommendation,"Personal enthusiasm included, but main purpose is recommendation."
"If Duke Ellington feels too huge to approach, start with Ellington Indigos. It is moody, polished, and full of beautiful writing without requiring a graduate seminar first.",recommendation,
Thelonious Monk Plays Duke Ellington is a great recommendation for anyone still warming up to Monk. Familiar tunes make it easier to hear how personal his rhythm and voicings are.,recommendation,
"For people who want jazz that grooves but still has serious improvising, Eddie Harris and Les McCann's Swiss Movement is a blast. ""Compared to What"" alone justifies the record.",recommendation,
"This sub should talk more about Rene Marie. Start with Vertigo if you want a vocalist who can be theatrical, swinging, funny, and emotionally direct without sounding like anyone else.",recommendation,
"If you are intimidated by Cecil Taylor, try Jazz Advance before jumping into the later storms. You can hear the roots clearly, but the angles are already there.",recommendation,
"Check out Milt Jackson and Wes Montgomery's Bags Meets Wes! if you want a warm, bluesy, beautifully recorded session. Vibes and guitar together can be such a good texture.",recommendation,
"For a gorgeous sax/piano duo album, I recommend Lee Konitz and Brad Mehldau's Alone Together. It is patient, conversational, and full of tiny surprises.",recommendation,"Personal enthusiasm included, but main purpose is recommendation."
I always recommend Herbie Hancock's Speak Like a Child to people who want something lyrical but not sleepy. The horn colors are unusual and the compositions feel quietly luminous.,recommendation,"Personal enthusiasm included, but main purpose is recommendation."
"If you want early jazz that does not sound dusty, listen to Louis Armstrong's Hot Fives and Sevens with real attention. The sound is old, but the imagination is still electric.",recommendation,
"For late-Coltrane-curious listeners, try Transition before diving straight into the wildest stuff. You can hear the classic quartet stretching toward something larger in real time.",recommendation,
"Try Yussef Dayes - Black Classical Music if you want a modern record with jazz drumming, London groove, and a lot of atmosphere. It is long, but it keeps opening new rooms.",recommendation,
"If you need something calming but not sleepy, put on Paul Desmond and Jim Hall's Take Ten. Desmond's tone plus Hall's comping is basically civilized conversation as music.",recommendation,
"Record store find to recommend: Hampton Hawes - For Real! It has Harold Land and Scott LaFaro, and the whole thing swings with a West Coast bite that deserves more attention.",recommendation,
"The Art Ensemble of Chicago's Nice Guys is my recommendation for people who want avant-garde jazz with humor, space, percussion, and actual tunes peeking through the abstraction.",recommendation,
"For vocal harmony in jazz, try Lambert, Hendricks & Ross - The Hottest New Group in Jazz. The vocalese thing may sound gimmicky on paper, but the execution is unbelievably hip.",recommendation,
"If you like cinematic jazz, check out Piero Umiliani's soundtrack work, especially the jazzier cues. It is Italian film music, but the arrangements and grooves have real charm.",recommendation,
"Please hear Elvin Jones - Puttin' It Together if you mostly know him from Coltrane. Joe Farrell and Jimmy Garrison are there, and Elvin sounds massive in a smaller setting.",recommendation,
"For anyone exploring Brazilian jazz, I recommend Tamba Trio's Avanco. The vocals, piano, and rhythm section are tight, bright, and harmonically much richer than casual bossa background music.",recommendation,"Personal enthusiasm included, but main purpose is recommendation."
"My easy recommendation for people coming from hip-hop is Madlib's Shades of Blue, then follow the samples back to the original Blue Note records. It is a fun doorway into the catalog.",recommendation,"Personal enthusiasm included, but main purpose is recommendation."
Cartoon in memory of Abdullah Ibrahim (Dollar Brand) by Zapiro: See here for original: https://www.dailymaverick.co.za/cartoon/2026-06-18-hamba-kahle-1/ RIP...,information,"Includes link/suggestion language, but main purpose is information."
"Billie Holiday — “Crazy He Calls Me”Decca 24796 (U.S.) Matrix W7542T2A - 78 rpm Recorded 1949: A late‑1940s Decca session featuring Billie Holiday at her most intimate and expressive. Written by Carl Sigman and Bob Russell, “Crazy He Calls Me” became one of Holiday’s signature ballads — a slow‑burning, emotionally rich performance that shows her mastery of phrasing and nuance.This original Decca Personality Series pressing captures that warm, velvety studio sound typical of the label’s post‑war era. Holiday’s voice floats over a restrained orchestral backing, giving the song its timeless, late‑night glow.From The Neven 78 Radio Archive — preserving historic jazz, blues, and popular music on original shellac. https://youtube.com/@mamlishblues?si=7HFH_xEx0PVcJLJR",information,
"A powerhouse improvisation from Sidney Bechet, one of the most commanding voices in early jazz. “Saturday Night Blues” captures Bechet in full flight — rich tone, fierce vibrato, and that unmistakable melodic authority that made him a legend on both clarinet and soprano sax.This early Blue Note release comes from the label’s formative years, when Alfred Lion and Francis Wolff were documenting some of the most vital small‑group jazz in New York. The 767 Lexington Ave. address places this disc firmly in the pre‑modern Blue Note era, prized by collectors for its raw, intimate sound. https://youtube.com/@mamlishblues?si=HGWylRM5llstOdoa",information,
Smalls Jazz Club in NYC has an extensive free online archive of thousands of live jazz shows that have performed there. It's worth checking out. https://www.smallslive.com/search/archive/,information,"Includes link/suggestion language, but main purpose is information."
"John Coltrane's Blue Train was recorded for Blue Note on September 15, 1957, with Lee Morgan, Curtis Fuller, Kenny Drew, Paul Chambers, and Philly Joe Jones. It remains Coltrane's only session as leader for the label and one of the defining hard bop LPs of the late 1950s.",information,
"Miles Davis's Kind of Blue was recorded at Columbia's 30th Street Studio in New York over two 1959 sessions. The album's modal approach gave players like John Coltrane, Cannonball Adderley, Bill Evans, and Wynton Kelly room to build solos from scales rather than dense chord changes.",information,
"The Newport Jazz Festival began in 1954 in Newport, Rhode Island, founded by George Wein and Elaine Lorillard. Duke Ellington's 1956 appearance, especially the long Paul Gonsalves solo during ""Diminuendo and Crescendo in Blue,"" helped restore Ellington's mainstream visibility.",information,
"Blue Note's classic visual identity was shaped by designer Reid Miles and photographer Francis Wolff during the 1950s and 1960s. The bold typography, cropped session photos, and limited color palettes became almost as recognizable as the label's recorded sound.",information,
"Ella Fitzgerald's Song Book series for Verve started in the mid-1950s and covered composers including Cole Porter, Rodgers and Hart, Duke Ellington, Irving Berlin, and the Gershwins. The albums helped define the Great American Songbook for LP-era listeners.",information,
"Charles Mingus recorded Mingus Ah Um for Columbia in 1959, the same year as Kind of Blue and Time Out. Tracks like ""Goodbye Pork Pie Hat,"" ""Fables of Faubus,"" and ""Better Git It in Your Soul"" show his mix of blues, gospel, politics, and arranged ensemble writing.",information,
"Thelonious Monk's Brilliant Corners was recorded for Riverside in 1956 and required multiple takes because of the title track's difficult structure. The final master was edited together from several takes, with Sonny Rollins, Ernie Henry, Oscar Pettiford, Max Roach, and others involved.",information,
"Charlie Parker's Savoy and Dial recordings from the 1940s document bebop in its formative years. Sides such as ""Ko-Ko,"" ""Now's the Time,"" and ""Ornithology"" show Parker's fast harmonic thinking, blues grounding, and influence on nearly every alto player after him.",information,
"Art Blakey's Jazz Messengers became one of jazz's major training grounds after the mid-1950s. Alumni included Lee Morgan, Wayne Shorter, Freddie Hubbard, Wynton Marsalis, Cedar Walton, and many others, making the band both a working group and a school.",information,
"Bill Evans Trio's Sunday at the Village Vanguard was recorded live on June 25, 1961, with Scott LaFaro and Paul Motian. LaFaro died in a car accident less than two weeks later, giving the recordings an added historical weight.",information,
